id,ordernumber,quantityordered,priceeach,sales,orderdate,status,qtr_id,month_id,year_id,productline,customername,country,territory,dealsize
1,10107,30,95.7,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,Land of Toys Inc.,USA,,Small
2,10121,34,81.35,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,Reims Collectables,France,EMEA,Small
3,10134,41,94.74,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Medium
4,10145,45,83.26,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,Toys4GrownUps.com,USA,,Medium
5,10159,49,100.0,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,USA,,Medium
6,10168,36,96.66,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,Technics Stores Inc.,USA,,Medium
7,10180,29,86.13,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Small
8,10188,48,100.0,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
9,10201,22,98.57,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,Mini Wheels Co.,USA,,Small
10,10211,41,100.0,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,Auto Canal Petit,France,EMEA,Medium
11,10223,37,100.0,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
12,10237,23,100.0,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,Vitachrome Inc.,USA,,Small
13,10251,28,100.0,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc.,USA,,Medium
14,10263,34,100.0,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,Gift Depot Inc.,USA,,Medium
15,10275,45,92.83,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
16,10285,36,100.0,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,Marta's Replicas Co.,USA,,Medium
17,10299,23,100.0,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Small
18,10309,41,100.0,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,Norway,EMEA,Medium
19,10318,46,94.74,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc.,USA,,Medium
20,10329,42,100.0,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,Land of Toys Inc.,USA,,Medium
21,10341,41,100.0,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,Salzburg Collectables,Austria,EMEA,Large
22,10361,20,72.55,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
23,10375,21,34.91,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,La Rochelle Gifts,France,EMEA,Small
