ordernumber,quantityordered,priceeach,sales,orderdate,status,qtr_id,month_id,year_id,productline,customername,country,territory,dealsize
10121,34,81.35,-0.4190810851704399,2003-05-07,Shipped,2,5,2003,Motorcycles,Reims Collectables,France,EMEA,Small
10134,41,94.74,0.19132920186801836,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Medium
10180,29,86.13,-0.5654182246357862,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Small
10188,48,100.0,1.07983081044145,2003-11-18,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
10211,41,100.0,0.6410977344208536,2004-01-15,Shipped,1,1,2004,Motorcycles,Auto Canal Petit,France,EMEA,Medium
10223,37,100.0,0.23571116651696442,2004-02-20,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
10275,45,92.83,0.3512450831000369,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
10299,23,100.0,-0.5110486806327362,2004-09-30,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Small
10309,41,100.0,0.46969340808479815,2004-10-15,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,Norway,EMEA,Medium
10341,41,100.0,2.2945005637904567,2004-11-24,Shipped,4,11,2004,Motorcycles,Salzburg Collectables,Austria,EMEA,Large
10361,20,72.55,-1.1367132213841562,2004-12-17,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
10375,21,34.91,-1.5285155898277372,2005-02-03,Shipped,1,2,2005,Motorcycles,La Rochelle Gifts,France,EMEA,Small
10403,24,100.0,-0.599916306109715,2005-04-08,Shipped,2,4,2005,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Small
10417,66,100.0,2.1734216304730847,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Large
10103,26,100.0,1.0210514499804135,2003-01-29,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
10112,29,100.0,2.0058868089250392,2003-03-24,Shipped,1,3,2003,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Large
10126,38,100.0,2.071351844090326,2003-05-28,Shipped,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Large
10194,42,100.0,2.050230569718533,2003-11-25,Shipped,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Large
10258,32,100.0,2.263233436949113,2004-06-15,Shipped,2,6,2004,Classic Cars,"Tokyo Collectables, Ltd",Japan,Japan,Large
10270,21,100.0,0.748587010584282,2004-07-19,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
10291,37,100.0,1.9660893069304357,2004-09-08,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Large
10347,30,100.0,0.22427184065565214,2004-11-29,Shipped,4,11,2004,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
10391,24,100.0,-0.6097401546547351,2005-03-09,Shipped,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
10120,29,96.34,-0.4038213737638421,2003-04-29,Shipped,2,4,2003,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Small
10134,27,100.0,-0.123345040109883,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Medium
10180,42,100.0,0.6340900557920731,2003-11-11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
10188,38,96.34,0.06939341064977474,2003-11-18,Shipped,4,11,2003,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
10210,23,100.0,-0.2863554336335826,2004-01-12,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
10223,47,100.0,1.0307497715718028,2004-02-20,Shipped,1,2,2004,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
10275,22,100.0,-0.34347019753560215,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Small
10298,39,96.34,0.12197283114017668,2004-09-27,Shipped,3,9,2004,Motorcycles,Atelier graphique,France,EMEA,Medium
10339,40,68.92,-0.4240475863793111,2004-11-23,Shipped,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
10361,26,51.15,-1.2028058913175967,2004-12-17,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
10374,39,100.0,0.957409284489592,2005-02-02,Shipped,1,2,2005,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
10402,45,100.0,1.2552847454555087,2005-04-07,Shipped,2,4,2005,Motorcycles,Auto Canal Petit,France,EMEA,Medium
10417,45,100.0,1.2845106948769436,2005-05-13,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,Spain,EMEA,Medium
10134,31,100.0,1.9048485266395079,2003-07-01,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,France,EMEA,Large
10210,34,100.0,1.4133395531576092,2004-01-12,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
10275,36,100.0,1.8382319181169997,2004-07-23,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
10299,29,100.0,1.7189376506186393,2004-09-30,Shipped,3,9,2004,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Medium
10339,39,76.67,-0.2967032207676704,2004-11-23,Shipped,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
10374,22,100.0,0.1640625644619515,2005-02-02,Shipped,1,2,2005,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
10105,50,100.0,2.00528100493143,2003-02-11,Shipped,1,2,2003,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Large
10119,46,100.0,0.8028419430209733,2003-04-28,Shipped,2,4,2003,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
10129,33,100.0,0.47180007782834116,2003-06-12,Shipped,2,6,2003,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
10155,32,100.0,0.5415712332725282,2003-10-06,Shipped,4,10,2003,Classic Cars,"Toys of Finland, Co.",Finland,EMEA,Medium
10167,44,100.0,1.3046004651515093,2003-10-23,Cancelled,4,10,2003,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
10178,24,100.0,-0.02253598095706867,2003-11-08,Shipped,4,11,2003,Classic Cars,Alpha Cognac,France,EMEA,Medium
10186,26,100.0,0.17490154402329014,2003-11-14,Shipped,4,11,2003,Classic Cars,"Double Decker Gift Stores, Ltd",UK,EMEA,Medium
10197,45,100.0,0.9772698316314405,2003-11-26,Shipped,4,11,2003,Classic Cars,Enaco Distributors,Spain,EMEA,Medium
10273,30,100.0,-0.013629024942917052,2004-07-21,Shipped,3,7,2004,Classic Cars,Petit Auto,Belgium,EMEA,Medium
10316,33,100.0,0.32483530359484103,2004-11-01,Shipped,4,11,2004,Classic Cars,giftsbymail.co.uk,UK,EMEA,Medium
10325,47,64.93,-0.2630947433564296,2004-11-05,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
10350,26,75.47,-0.8577050073183139,2004-12-02,Shipped,4,12,2004,Classic Cars,Euro Shopping Channel,Spain,EMEA,Small
10359,48,54.68,-0.4961764654743031,2004-12-15,Shipped,4,12,2004,Classic Cars,Reims Collectables,France,EMEA,Small
10373,39,100.0,0.2796947195304738,2005-01-31,Shipped,1,1,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,EMEA,Medium
10395,32,100.0,-0.08907618176867133,2005-03-17,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,France,EMEA,Medium
10103,42,100.0,1.0175803568278399,2003-01-29,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
10114,31,100.0,0.4210653577869486,2003-04-01,Shipped,2,4,2003,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Medium
10126,22,100.0,-0.10153063864630242,2003-05-28,Shipped,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Medium
10150,20,100.0,-0.1869653748261603,2003-09-19,Shipped,3,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
10164,21,100.0,0.0016634326254975152,2003-10-21,Resolved,4,10,2003,Classic Cars,Mini Auto Werke,Austria,EMEA,Medium
10175,33,100.0,0.9982437482750585,2003-11-06,Shipped,4,11,2003,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
10194,26,100.0,0.39839409842249673,2003-11-25,Shipped,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Medium
10217,48,100.0,1.902938333866865,2004-02-04,Shipped,1,2,2004,Classic Cars,Handji Gifts& Co,Singapore,APAC,Large
10259,26,100.0,0.27267066782078453,2004-06-15,Shipped,2,6,2004,Classic Cars,Handji Gifts& Co,Singapore,APAC,Medium
10270,32,100.0,0.4193188958233896,2004-07-19,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
